"V1","V2"
"V1","ResponseID"
"V2","ResponseSet"
"V3","Name"
"V4","ExternalDataReference"
"V5","EmailAddress"
"V6","IPAddress"
"V7","Status"
"V8","StartDate"
"V9","EndDate"
"V10","Finished"
"MID","MID"
"Q1.1","STANFORD UNIVERSITY Research Consent Form Protocol Title: Lifestyle and dietary choices study I P..."
"Q1.2_1_TEXT","In order to participate in this three-wave research study, we require your MTurk WorkerID. Please...-MTurk WorkerID:"
"Q1.2_2_TEXT","In order to participate in this three-wave research study, we require your MTurk WorkerID. Please...-Re-enter MTurk WorkerID:"
"Q2.1","The purpose of this study is to understand your lifestyle choices and dietary preferences.  We ar..."
"Q2.2#1_1","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Dairy (cheese, milk, yogurt, etc.)"
"Q2.2#1_2","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Chicken (fried chicken, in soup, grilled chicken, etc.)"
"Q2.2#1_3","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Turkey (turkey dinner, turkey sandwich, in soup, etc.)"
"Q2.2#1_4","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Fish and seafood (tuna, shrimp, crab, etc.)"
"Q2.2#1_5","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Pork (ham, pork chops, ribs, etc.)"
"Q2.2#1_6","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Beef (steak, meatballs, in tacos, etc.)"
"Q2.2#1_7","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Other meat (duck, lamb, venison, etc.)"
"Q2.2#1_8","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Eggs (omelet, in salad, in baked goods, etc.)"
"Q2.2#1_9","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Fruit (apples, bananas, oranges, etc.)"
"Q2.2#1_10","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Vegetables (carrots, mushrooms, potatoes, etc.)"
"Q2.2#1_11","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Nuts (almonds, cashews, walnuts, peanuts, etc.)"
"Q2.2#1_12","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Beans (soy, chickpeas, chili, etc.)"
"Q2.2#1_13","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Veggie meats (tofu, veggie dogs, veggie burgers, tempeh, etc.)"
"Q2.2#1_14","Thinking about your diet over the past 30 days, please select the responses that best describe ho... : Frequency-Grains (breads, pasta, rice, etc.)"
"Q2.3_1","Timing-First Click"
"Q2.3_2","Timing-Last Click"
"Q2.3_3","Timing-Page Submit"
"Q2.3_4","Timing-Click Count"
"Q2.4","How often do you eat meat?  By ""meat"", we are referring to red meat (e.g. beef, pork), white and..."
"Q2.5","Have you ever eaten a vegetarian or vegan diet?   A vegetarian diet includes egg and milk product..."
"Q2.6_1_TEXT","Thinking about the most recent period you ate a vegetarian or vegan diet, when did you start and...-Start date (mm/yyyy):"
"Q2.6_2_TEXT","Thinking about the most recent period you ate a vegetarian or vegan diet, when did you start and...-End date (mm/yyyy):"
"Q2.7_1","Timing-First Click"
"Q2.7_2","Timing-Last Click"
"Q2.7_3","Timing-Page Submit"
"Q2.7_4","Timing-Click Count"
"Q3.1","Do you intend to change your fruit and vegetable consumption over the next month (30 days)?  ""I i..."
"Q3.2","Do you intend to change your meat consumption over the next month (30 days)? Meat includes chicke..."
"Q3.3_1","Timing-First Click"
"Q3.3_2","Timing-Last Click"
"Q3.3_3","Timing-Page Submit"
"Q3.3_4","Timing-Click Count"
"Q4.1","We are now going to ask you some questions about your attitudes towards meat consumption."
"Q4.2_1","Please indicate the extent to which you agree or disagree with the following statements.-Purchasing animal products (like meat, eggs, dairy) contributes to the suffering of animals"
"Q4.2_2","Please indicate the extent to which you agree or disagree with the following statements.-Most animals that are raised for food have a good standard of living"
"Q4.2_4","Please indicate the extent to which you agree or disagree with the following statements.-Raising animals for food contributes to environmental degradation"
"Q4.2_6","Please indicate the extent to which you agree or disagree with the following statements.-More and more people in the US are reducing their meat consumption"
"Q4.2_7","Please indicate the extent to which you agree or disagree with the following statements.-Most people would be healthier if they ate less meat"
"Q4.3_2","What are the TWO most important things that you take into consideration when deciding what meat,...-Price of the product"
"Q4.3_3","What are the TWO most important things that you take into consideration when deciding what meat,...-Nutritional content of the product"
"Q4.3_4","What are the TWO most important things that you take into consideration when deciding what meat,...-Whether the product is antibiotic and/or hormone free"
"Q4.3_7","What are the TWO most important things that you take into consideration when deciding what meat,...-Whether the animals had a good standard of living"
"Q4.3_11","What are the TWO most important things that you take into consideration when deciding what meat,...-How the product tastes"
"Q4.3_12","What are the TWO most important things that you take into consideration when deciding what meat,...-The environmental impacts of the product"
"Q4.3_13","What are the TWO most important things that you take into consideration when deciding what meat,...-Other (please specify):"
"Q4.3_13_TEXT","What are the TWO most important things that you take into consideration when deciding what meat,...-Other (please specify):-TEXT"
"Q4.4_1","Timing-First Click"
"Q4.4_2","Timing-Last Click"
"Q4.4_3","Timing-Page Submit"
"Q4.4_4","Timing-Click Count"
"Q5.1_1","Imagine you decided to become vegetarian, and thus quit eating meat entirely.  How do you think y...-My friends and family would be supportive if I decided to quit eating meat."
"Q5.1_5","Imagine you decided to become vegetarian, and thus quit eating meat entirely.  How do you think y...-My friends and family would think or say negative things about me behind my back if I decided to quit eating meat."
"Q5.2_1","Timing-First Click"
"Q5.2_2","Timing-Last Click"
"Q5.2_3","Timing-Page Submit"
"Q5.2_4","Timing-Click Count"
"Q6.1","We would like to get your feelings toward people who eat a vegetarian diet on a ""feeling thermome..."
"Q6.2_1","Timing-First Click"
"Q6.2_2","Timing-Last Click"
"Q6.2_3","Timing-Page Submit"
"Q6.2_4","Timing-Click Count"
"Q7.1_2","Please rate the following according to how difficult you think each goal would be for you.  Think...-Completely eliminating meat from your diet for the next year"
"Q7.1_3","Please rate the following according to how difficult you think each goal would be for you.  Think...-Reducing your meat consumption by 25% for the next year"
"Q7.2_1","Timing-First Click"
"Q7.2_2","Timing-Last Click"
"Q7.2_3","Timing-Page Submit"
"Q7.2_4","Timing-Click Count"
"Q8.1","You're almost done! We just have a few final questions. "
"Q8.2","50 States, D.C. and Puerto Rico"
"Q8.3","What is your gender?"
"Q8.4","What is the highest educational qualification you have obtained?"
"Q8.4_TEXT","What is the highest educational qualification you have obtained?-TEXT"
"Q8.5","What year were you born?"
"Q8.6","In which of these groups did your total PERSONAL income, from all sources, fall last year before..."
"Q8.7_1","Timing-First Click"
"Q8.7_2","Timing-Last Click"
"Q8.7_3","Timing-Page Submit"
"Q8.7_4","Timing-Click Count"
"Q9.1","You have just completed the first survey wave of this study, thank you for participating! We will..."
"Q9.2_1","Timing-First Click"
"Q9.2_2","Timing-Last Click"
"Q9.2_3","Timing-Page Submit"
"Q9.2_4","Timing-Click Count"
"Q9.3","  STANFORD UNIVERSITY  Protocol Title: Lifestyle and dietary choices study I Protocol Director: B..."
"Q9.4_1","Timing-First Click"
"Q9.4_2","Timing-Last Click"
"Q9.4_3","Timing-Page Submit"
"Q9.4_4","Timing-Click Count"
"DO-Q-Q5.1","Display Order: Imagine you decided to become vegetarian, and thus quit eating meat entirely.  How do you think y..."
"DO-Q-Q4.2","Display Order: Please indicate the extent to which you agree or disagree with the following statements."
"DO-Q-Q7.1","Display Order: Please rate the following according to how difficult you think each goal would be for you.  Think..."
"DO-Q-Q2.2","Display Order: Thinking about your diet over the past 30 days, please select the responses that best describe ho..."
"DO-Q-Q4.3","Display Order: What are the TWO most important things that you take into consideration when deciding what meat,..."
"LocationLatitude","LocationLatitude"
"LocationLongitude","LocationLongitude"
"LocationAccuracy","LocationAccuracy"
NA,NA
